iter	Passed	Remaining
0	97	97403
1	98	49176
2	99	33101
3	100	25030
4	101	20171
5	102	16938
6	103	14658
7	104	12979
8	105	11640
9	106	10547
10	107	9658
11	108	8925
12	109	8300
13	110	7754
14	110	7281
15	111	6862
16	112	6495
17	113	6166
18	113	5871
19	114	5609
20	115	5371
21	115	5153
22	116	4955
23	117	4788
24	118	4639
25	119	4489
26	120	4344
27	121	4212
28	122	4099
29	123	3987
30	124	3878
31	124	3777
32	125	3681
33	126	3588
34	126	3498
35	127	3419
36	128	3344
37	129	3275
38	130	3210
39	131	3145
40	132	3089
41	133	3046
42	134	2992
43	135	2947
44	136	2905
45	137	2860
46	138	2812
47	139	2766
48	140	2723
49	141	2680
50	141	2639
51	142	2600
52	143	2561
53	144	2524
54	144	2491
55	145	2458
56	146	2431
57	148	2407
58	148	2376
59	149	2344
60	150	2313
61	150	2284
62	151	2255
63	152	2228
64	153	2203
65	153	2178
66	154	2155
67	155	2132
68	156	2109
69	157	2087
70	157	2066
71	158	2044
72	159	2024
73	160	2004
74	161	1985
75	162	1972
76	163	1959
77	164	1942
78	165	1926
79	166	1910
80	167	1894
81	168	1881
82	168	1861
83	169	1846
84	170	1831
85	170	1816
86	171	1800
87	172	1785
88	173	1772
89	174	1761
90	175	1751
91	176	1738
92	176	1725
93	177	1714
94	178	1702
95	179	1690
96	180	1677
97	180	1664
98	181	1651
99	182	1639
100	182	1627
101	183	1615
102	184	1603
103	184	1592
104	185	1582
105	186	1574
106	187	1566
107	188	1557
108	189	1547
109	189	1537
110	190	1527
111	191	1519
112	192	1511
113	193	1503
114	194	1495
115	194	1485
116	195	1475
117	196	1466
118	197	1458
119	197	1451
120	198	1443
121	199	1434
122	200	1426
123	200	1418
124	201	1409
125	202	1402
126	202	1393
127	203	1385
128	204	1378
129	204	1371
130	205	1365
131	206	1360
132	207	1354
133	208	1348
134	209	1341
135	210	1334
136	210	1328
137	211	1321
138	212	1314
139	212	1308
140	213	1301
141	214	1293
142	214	1287
143	215	1281
144	216	1275
145	217	1269
146	217	1264
147	218	1258
148	219	1252
149	220	1247
150	220	1241
151	222	1239
152	222	1234
153	223	1229
154	224	1224
155	225	1219
156	226	1214
157	226	1209
158	227	1204
159	228	1198
160	228	1192
161	229	1187
162	230	1183
163	231	1177
164	231	1173
165	232	1168
166	233	1163
167	234	1159
168	234	1154
169	235	1150
170	236	1146
171	237	1143
172	238	1140
173	239	1135
174	240	1131
175	240	1127
176	241	1123
177	242	1119
178	243	1114
179	243	1110
180	244	1106
181	245	1102
182	246	1098
183	246	1094
184	247	1091
185	248	1087
186	249	1083
187	249	1079
188	250	1076
189	251	1073
190	252	1070
191	253	1066
192	254	1063
193	254	1059
194	255	1056
195	256	1053
196	257	1049
197	258	1046
198	259	1043
199	259	1039
200	260	1036
201	261	1032
202	262	1029
203	262	1025
204	263	1022
205	264	1019
206	265	1017
207	266	1015
208	267	1013
209	268	1010
210	269	1007
211	270	1004
212	271	1001
213	272	999
214	272	996
215	273	993
216	274	990
217	275	987
218	276	984
219	276	981
220	277	978
221	278	975
222	279	972
223	279	969
224	280	966
225	281	964
226	282	962
227	283	959
228	284	956
229	284	953
230	285	950
231	286	948
232	287	945
233	287	942
234	288	939
235	289	936
236	290	933
237	290	930
238	291	928
239	292	925
240	293	923
241	294	921
242	295	920
243	296	918
244	297	916
245	298	914
246	298	911
247	299	909
248	300	906
249	301	903
250	302	901
251	303	899
252	303	896
253	304	894
254	305	891
255	306	889
256	306	886
257	307	883
258	308	881
259	308	879
260	309	876
261	310	874
262	311	873
263	312	871
264	313	870
265	314	867
266	315	865
267	315	862
268	316	860
269	317	857
270	317	855
271	318	852
272	319	850
273	320	848
274	321	846
275	321	844
276	322	842
277	323	840
278	324	837
279	325	835
280	325	834
281	327	832
282	327	830
283	328	828
284	329	826
285	330	824
286	330	822
287	331	819
288	332	817
289	333	815
290	334	814
291	335	812
292	335	810
293	336	808
294	337	806
295	338	804
296	338	802
297	339	799
298	340	798
299	341	797
300	342	795
301	343	793
302	344	792
303	345	790
304	346	789
305	348	789
306	348	787
307	349	785
308	350	783
309	351	781
310	351	779
311	352	777
312	353	775
313	354	774
314	355	774
315	357	773
316	358	771
317	358	769
318	359	768
319	361	767
320	361	765
321	362	763
322	363	761
323	364	759
324	364	757
325	365	755
326	366	753
327	366	751
328	367	749
329	368	747
330	368	745
331	369	743
332	370	741
333	371	741
334	372	739
335	373	737
336	374	736
337	374	734
338	375	732
339	376	730
340	376	728
341	377	726
342	378	724
343	379	722
344	379	721
345	380	719
346	381	718
347	382	716
348	382	714
349	383	712
350	384	711
351	385	709
352	386	708
353	387	707
354	388	706
355	389	704
356	390	702
357	391	701
358	391	699
359	392	697
360	393	696
361	394	694
362	394	693
363	396	692
364	396	690
365	397	688
366	398	686
367	398	685
368	399	683
369	401	684
370	403	684
371	404	682
372	405	680
373	405	679
374	406	677
375	407	675
376	407	674
377	409	673
378	409	671
379	410	670
380	411	668
381	412	666
382	413	665
383	413	663
384	414	662
385	415	660
386	416	660
387	417	658
388	418	657
389	419	655
390	420	654
391	420	652
392	421	651
393	422	650
394	423	648
395	424	647
396	425	645
397	425	644
398	426	642
399	427	641
400	428	640
401	430	639
402	431	639
403	432	637
404	433	636
405	433	634
406	434	633
407	435	632
408	436	630
409	437	629
410	438	627
411	438	626
412	439	624
413	440	623
414	441	621
415	441	620
416	442	619
417	443	618
418	444	616
419	445	615
420	446	614
421	447	613
422	448	611
423	449	610
424	450	609
425	451	608
426	452	606
427	452	605
428	453	603
429	454	602
430	455	600
431	455	599
432	456	597
433	457	596
434	458	595
435	459	593
436	460	593
437	462	592
438	463	592
439	464	590
440	464	589
441	465	587
442	466	586
443	466	584
444	467	583
445	468	581
446	468	580
447	470	579
448	470	577
449	471	576
450	472	575
451	473	573
452	474	572
453	475	571
454	476	570
455	477	569
456	477	567
457	478	566
458	479	564
459	479	563
460	480	562
461	481	560
462	482	559
463	482	557
464	483	556
465	484	555
466	485	553
467	485	552
468	486	551
469	487	549
470	488	548
471	489	547
472	491	547
473	491	545
474	492	544
475	493	543
476	494	541
477	494	540
478	495	539
479	496	537
480	497	537
481	498	536
482	499	534
483	500	533
484	501	532
485	502	531
486	503	530
487	504	529
488	506	528
489	506	527
490	507	526
491	508	524
492	509	523
493	509	522
494	510	521
495	511	519
496	512	518
497	513	517
498	514	516
499	515	515
500	516	514
501	517	513
502	517	511
503	519	510
504	519	509
505	520	508
506	521	507
507	522	506
508	523	504
509	524	503
510	525	502
511	525	501
512	526	500
513	527	498
514	528	497
515	529	496
516	529	495
517	530	493
518	531	492
519	532	491
520	533	490
521	534	489
522	535	488
523	536	487
524	537	485
525	538	484
526	538	483
527	539	482
528	540	481
529	541	480
530	542	478
531	543	477
532	543	476
533	545	475
534	545	474
535	546	473
536	547	471
537	548	470
538	549	469
539	550	468
540	551	467
541	552	466
542	552	465
543	553	464
544	554	462
545	555	461
546	555	460
547	556	459
548	557	458
549	558	456
550	559	455
551	559	454
552	560	453
553	561	451
554	562	450
555	562	449
556	563	448
557	565	447
558	566	446
559	567	445
560	568	444
561	568	443
562	569	442
563	570	440
564	570	439
565	571	438
566	572	437
567	573	436
568	574	435
569	575	434
570	576	433
571	577	431
572	578	430
573	579	430
574	580	429
575	582	428
576	583	427
577	584	426
578	584	425
579	585	424
580	586	422
581	587	421
582	587	420
583	588	419
584	589	417
585	589	416
586	590	415
587	591	414
588	591	412
589	592	411
590	593	410
591	594	409
592	595	408
593	596	407
594	597	406
595	597	405
596	598	404
597	599	402
598	599	401
599	600	400
600	601	399
601	602	398
602	603	397
603	603	395
604	604	394
605	605	393
606	605	392
607	606	391
608	607	390
609	608	389
610	609	388
611	610	387
612	611	385
613	612	384
614	613	383
615	613	382
616	614	381
617	615	380
618	616	379
619	617	378
620	617	377
621	618	375
622	619	374
623	619	373
624	620	372
625	621	371
626	622	370
627	623	369
628	625	368
629	626	367
630	627	366
631	628	365
632	629	364
633	630	363
634	631	362
635	631	361
636	632	360
637	633	359
638	634	358
639	635	357
640	636	356
641	637	355
642	639	354
643	640	353
644	641	352
645	641	351
646	642	350
647	643	349
648	644	348
649	644	347
650	645	346
651	646	345
652	647	344
653	648	343
654	649	341
655	649	340
656	650	339
657	651	338
658	652	337
659	653	336
660	654	335
661	655	334
662	656	333
663	657	332
664	657	331
665	658	330
666	659	329
667	660	328
668	661	327
669	661	325
670	663	325
671	663	324
672	664	322
673	665	321
674	666	320
675	666	319
676	667	318
677	668	317
678	669	316
679	670	315
680	672	314
681	673	313
682	673	312
683	674	311
684	675	310
685	676	309
686	677	308
687	678	307
688	679	306
689	680	305
690	681	304
691	683	304
692	684	303
693	685	302
694	687	301
695	689	301
696	690	300
697	691	299
698	692	298
699	693	297
700	694	296
701	695	295
702	702	296
703	703	295
704	704	294
705	705	293
706	706	292
707	707	291
708	708	290
709	708	289
710	710	288
711	711	287
712	711	286
713	713	285
714	714	284
715	716	284
716	717	283
717	718	282
718	719	281
719	720	280
720	721	279
721	721	277
722	722	276
723	723	275
724	724	274
725	725	273
726	726	272
727	727	271
728	728	270
729	731	270
730	732	269
731	733	268
732	734	267
733	735	266
734	736	265
735	737	264
736	738	263
737	739	262
738	740	261
739	741	260
740	743	259
741	744	258
742	746	258
743	746	257
744	747	255
745	748	254
746	749	253
747	750	252
748	750	251
749	751	250
750	752	249
751	753	248
752	754	247
753	755	246
754	756	245
755	759	245
756	760	244
757	761	243
758	762	242
759	763	240
760	763	239
761	764	238
762	765	237
763	765	236
764	766	235
765	767	234
766	768	233
767	768	232
768	769	231
769	770	230
770	771	229
771	771	227
772	772	226
773	774	226
774	775	225
775	776	224
776	777	223
777	777	221
778	778	220
779	779	219
780	780	218
781	780	217
782	781	216
783	782	215
784	783	214
785	783	213
786	784	212
787	785	211
788	785	210
789	786	209
790	787	208
791	788	207
792	789	206
793	790	205
794	791	204
795	792	203
796	792	201
797	793	200
798	794	199
799	794	198
800	795	197
801	796	196
802	797	195
803	797	194
804	798	193
805	799	192
806	800	191
807	801	190
808	803	189
809	804	188
810	805	187
811	806	186
812	807	185
813	807	184
814	808	183
815	809	182
816	809	181
817	810	180
818	811	179
819	812	178
820	812	177
821	813	176
822	814	175
823	814	174
824	815	173
825	816	171
826	817	170
827	819	170
828	820	169
829	821	168
830	822	167
831	822	166
832	823	165
833	824	164
834	825	163
835	825	162
836	826	161
837	827	159
838	828	159
839	829	157
840	830	156
841	830	155
842	831	154
843	832	153
844	833	152
845	835	152
846	836	151
847	837	150
848	837	148
849	838	147
850	839	146
851	840	145
852	841	144
853	841	143
854	842	142
855	843	141
856	843	140
857	844	139
858	845	138
859	845	137
860	846	136
861	847	135
862	848	134
863	849	133
864	850	132
865	850	131
866	851	130
867	852	129
868	853	128
869	854	127
870	855	126
871	855	125
872	856	124
873	857	123
874	857	122
875	858	121
876	859	120
877	859	119
878	860	118
879	861	117
880	861	116
881	862	115
882	863	114
883	864	113
884	865	112
885	866	111
886	867	110
887	868	109
888	869	108
889	870	107
890	870	106
891	871	105
892	871	104
893	872	103
894	873	102
895	873	101
896	874	100
897	875	99
898	875	98
899	876	97
900	876	96
901	877	95
902	878	94
903	879	93
904	880	92
905	881	91
906	882	90
907	882	89
908	883	88
909	884	87
910	884	86
911	885	85
912	885	84
913	886	83
914	887	82
915	887	81
916	888	80
917	889	79
918	889	78
919	890	77
920	891	76
921	891	75
922	892	74
923	893	73
924	893	72
925	894	71
926	895	70
927	896	69
928	897	68
929	898	67
930	898	66
931	899	65
932	900	64
933	900	63
934	901	62
935	902	61
936	902	60
937	903	59
938	904	58
939	904	57
940	905	56
941	906	55
942	906	54
943	907	53
944	908	52
945	908	51
946	910	50
947	910	49
948	911	48
949	912	48
950	913	47
951	913	46
952	914	45
953	914	44
954	915	43
955	916	42
956	917	41
957	917	40
958	918	39
959	919	38
960	920	37
961	920	36
962	921	35
963	922	34
964	923	33
965	924	32
